1623829167495|13|statement|connection 0|url jdbc:mysql://localhost:3306/test?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&zeroDateTimeBehavior=convertToNull&useSSL=false|SELECT  id,dept_id,username,password,nick_name,user_type,email,phone_number,sex,avatar_path,user_status,create_by,create_date,update_by,update_date,del_flag,remark  FROM sys_user_info   WHERE  del_flag='0' AND (username = ?) LIMIT 1|SELECT  id,dept_id,username,password,nick_name,user_type,email,phone_number,sex,avatar_path,user_status,create_by,create_date,update_by,update_date,del_flag,remark  FROM sys_user_info   WHERE  del_flag='0' AND (username = 'admin') LIMIT 1
1623829174555|1|statement|connection 1|url jdbc:mysql://localhost:3306/test?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&zeroDateTimeBehavior=convertToNull&useSSL=false|SELECT   res_code,res_path,http_method   FROM sys_resources   WHERE  del_flag='0' AND (res_code IS NOT NULL AND res_path IS NOT NULL AND http_method IS NOT NULL AND res_status = ? AND res_type = ?) ORDER BY res_sort ASC|SELECT   res_code,res_path,http_method   FROM sys_resources   WHERE  del_flag='0' AND (res_code IS NOT NULL AND res_path IS NOT NULL AND http_method IS NOT NULL AND res_status = '0' AND res_type = '1') ORDER BY res_sort ASC
1623829222987|16|statement|connection 2|url jdbc:mysql://localhost:3306/my-springsecurity-plus?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&zeroDateTimeBehavior=convertToNull&useSSL=false|SELECT  user_id,dept_id,user_name,password,nick_name,phone,email,status,create_time,update_time,create_by,create_date,update_by,update_date,del_flag,remark  FROM my_user   WHERE  del_flag='0' AND (user_name = ?) LIMIT 1|SELECT  user_id,dept_id,user_name,password,nick_name,phone,email,status,create_time,update_time,create_by,create_date,update_by,update_date,del_flag,remark  FROM my_user   WHERE  del_flag='0' AND (user_name = 'admin') LIMIT 1
1623829319470|20|statement|connection 0|url jdbc:mysql://localhost:3306/my-springsecurity-plus?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&zeroDateTimeBehavior=convertToNull&useSSL=false|SELECT  user_id,dept_id,user_name,password,nick_name,phone,email,status,create_time,update_time,create_by,create_date,update_by,update_date,del_flag,remark  FROM my_user   WHERE  del_flag='0' AND (user_name = ?) LIMIT 1|SELECT  user_id,dept_id,user_name,password,nick_name,phone,email,status,create_time,update_time,create_by,create_date,update_by,update_date,del_flag,remark  FROM my_user   WHERE  del_flag='0' AND (user_name = NULL) LIMIT 1
1623829545127|10|statement|connection 0|url jdbc:mysql://localhost:3306/my-springsecurity-plus?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&zeroDateTimeBehavior=convertToNull&useSSL=false|SELECT  user_id,dept_id,user_name,password,nick_name,phone,email,status,create_time,update_time  FROM my_user     WHERE (user_name = ?) LIMIT 1|SELECT  user_id,dept_id,user_name,password,nick_name,phone,email,status,create_time,update_time  FROM my_user     WHERE (user_name = NULL) LIMIT 1
1623829638150|10|statement|connection 0|url jdbc:mysql://localhost:3306/my-springsecurity-plus?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&zeroDateTimeBehavior=convertToNull&useSSL=false|SELECT  user_id,dept_id,user_name,password,nick_name,phone,email,status,create_time,update_time  FROM my_user     WHERE (user_name = ?) LIMIT 1|SELECT  user_id,dept_id,user_name,password,nick_name,phone,email,status,create_time,update_time  FROM my_user     WHERE (user_name = '') LIMIT 1
1623829664730|0|statement|connection 1|url jdbc:mysql://localhost:3306/my-springsecurity-plus?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&zeroDateTimeBehavior=convertToNull&useSSL=false|SELECT  user_id,dept_id,user_name,password,nick_name,phone,email,status,create_time,update_time  FROM my_user     WHERE (user_name = ?) LIMIT 1|SELECT  user_id,dept_id,user_name,password,nick_name,phone,email,status,create_time,update_time  FROM my_user     WHERE (user_name = 'admin') LIMIT 1
1623829680708|0|statement|connection 2|url jdbc:mysql://localhost:3306/my-springsecurity-plus?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&zeroDateTimeBehavior=convertToNull&useSSL=false|SELECT  user_id,dept_id,user_name,password,nick_name,phone,email,status,create_time,update_time  FROM my_user     WHERE (user_name = ?) LIMIT 1|SELECT  user_id,dept_id,user_name,password,nick_name,phone,email,status,create_time,update_time  FROM my_user     WHERE (user_name = 'admin') LIMIT 1
1623829942019|10|statement|connection 0|url jdbc:mysql://localhost:3306/my-springsecurity-plus?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&zeroDateTimeBehavior=convertToNull&useSSL=false|SELECT  user_id,dept_id,user_name,password,nick_name,phone,email,status,create_time,update_time  FROM my_user     WHERE (user_name = ?) LIMIT 1|SELECT  user_id,dept_id,user_name,password,nick_name,phone,email,status,create_time,update_time  FROM my_user     WHERE (user_name = 'admin') LIMIT 1
1623829976363|0|statement|connection 1|url jdbc:mysql://localhost:3306/my-springsecurity-plus?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&zeroDateTimeBehavior=convertToNull&useSSL=false|SELECT  user_id,dept_id,user_name,password,nick_name,phone,email,status,create_time,update_time  FROM my_user     WHERE (user_name = ?) LIMIT 1|SELECT  user_id,dept_id,user_name,password,nick_name,phone,email,status,create_time,update_time  FROM my_user     WHERE (user_name = 'admin') LIMIT 1
1623829977393|1|statement|connection 2|url jdbc:mysql://localhost:3306/my-springsecurity-plus?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8&zeroDateTimeBehavior=convertToNull&useSSL=false|SELECT  user_id,dept_id,user_name,password,nick_name,phone,email,status,create_time,update_time  FROM my_user     WHERE (user_name = ?) LIMIT 1|SELECT  user_id,dept_id,user_name,password,nick_name,phone,email,status,create_time,update_time  FROM my_user     WHERE (user_name = 'admin') LIMIT 1
